iter	Passed	Remaining
398	4872	7338
399	4881	7322
400	4886	7299
401	4898	7286
402	4904	7265
403	4908	7241
404	4913	7218
405	4916	7193
406	4926	7177
407	4930	7153
408	4933	7129
409	4942	7111
410	4945	7087
411	4950	7065
412	4957	7046
413	4962	7024
414	4975	7013
415	4979	6990
416	4992	6980
417	4997	6958
418	5009	6945
419	5012	6922
420	5024	6909
421	5027	6886
422	5031	6863
423	5038	6844
424	5042	6822
425	5060	6818
426	5068	6801
427	5080	6790
428	5090	6775
429	5101	6762
430	5105	6739
431	5108	6717
432	5119	6703
433	5128	6688
434	5130	6664
435	5132	6639
436	5134	6615
437	5136	6590
438	5137	6565
439	5141	6543
440	5143	6519
441	5144	6494
442	5146	6470
443	5147	6446
444	5149	6421
445	5150	6397
446	5152	6373
447	5156	6354
448	5158	6330
449	5160	6306
450	5161	6283
451	5163	6259
452	5164	6236
453	5166	6213
454	5167	6189
455	5170	6168
456	5173	6146
457	5175	6124
458	5176	6101
459	5181	6082
460	5189	6067
461	5193	6047
462	5197	6027
463	5209	6018
464	5214	5999
465	5241	6006
466	5259	6002
467	5264	5983
468	5268	5965
469	5276	5949
470	5287	5938
471	5296	5925
472	5301	5906
473	5332	5917
474	5336	5898
475	5355	5895
476	5368	5886
477	5374	5869
478	5383	5855
479	5388	5837
480	5393	5819
481	5404	5807
482	5409	5789
483	5420	5779
484	5430	5766
485	5435	5748
486	5451	5742
487	5455	5724
488	5466	5711
489	5469	5692
490	5481	5682
491	5485	5663
492	5489	5645
493	5498	5631
494	5506	5617
495	5517	5606
496	5527	5594
497	5533	5577
498	5543	5565
499	5549	5549
500	5565	5543
501	5576	5531
502	5580	5514
503	5590	5501
504	5593	5483
505	5600	5467
506	5606	5451
507	5617	5440
508	5628	5429
509	5632	5411
510	5644	5401
511	5648	5384
512	5658	5372
513	5663	5355
514	5713	5380
515	5722	5367
516	5726	5350
517	5738	5339
518	5748	5327
519	5754	5311
520	5775	5310
521	5780	5293
522	5790	5281
523	5795	5264
524	5808	5255
525	5819	5244
526	5840	5241
527	5844	5224
528	5849	5207
529	5853	5191
530	5867	5182
531	5879	5172
532	5900	5169
533	5910	5158
534	5945	5167
535	5950	5151
536	5973	5149
537	5978	5133
538	5985	5118
539	5989	5102
540	5996	5087
541	6002	5072
542	6024	5070
543	6032	5056
544	6042	5044
545	6047	5028
546	6052	5012
547	6061	4999
548	6066	4983
549	6075	4971
550	6080	4954
551	6087	4940
552	6092	4924
553	6100	4911
554	6105	4895
555	6124	4890
556	6129	4875
557	6134	4859
558	6139	4843
559	6151	4833
560	6155	4816
561	6166	4805
562	6172	4791
563	6180	4777
564	6195	4770
565	6204	4757
566	6215	4746
567	6219	4730
568	6224	4715
569	6228	4698
570	6239	4687
571	6243	4671
572	6250	4658
573	6254	4642
574	6258	4625
575	6269	4615
576	6273	4599
577	6282	4587
578	6289	4573
579	6306	4567
580	6316	4555
581	6321	4540
582	6335	4531
583	6357	4528
584	6399	4539
585	6411	4529
586	6415	4514
587	6433	4508
588	6445	4497
589	6451	4482
590	6464	4473
591	6485	4469
592	6498	4460
593	6510	4449
594	6527	4442
595	6542	4435
596	6547	4419
597	6555	4407
598	6561	4392
599	6566	4377
600	6571	4362
601	6580	4350
602	6586	4336
603	6616	4338
604	6622	4323
605	6653	4325
606	6657	4310
607	6674	4303
608	6682	4290
609	6691	4278
610	6696	4263
611	6712	4255
612	6716	4240
613	6742	4238
614	6754	4228
615	6760	4214
616	6765	4199
617	6773	4186
618	6778	4172
619	6783	4157
620	6789	4143
621	6793	4128
622	6805	4118
623	6821	4110
624	6846	4107
625	6851	4093
626	6898	4103
627	6904	4089
628	6918	4080
629	6923	4066
630	6928	4051
631	6939	4040
632	6944	4026
633	6955	4015
634	6962	4001
635	7008	4011
636	7024	4002
637	7029	3988
638	7037	3975
639	7043	3961
640	7052	3949
641	7061	3937
